channel_cd,interval_ts_local,meter_id,voltage_lvt,amps_lct,power_factor_pf,number_of_phases,year,month,day,hour,minute,second,week,dayofweek
a,2021-04-01 16:00:00+11:00,396.0,243.06499999999997,0.6265756666666666,-0.9886666666666667,1.0,2021.0,4.0,1.0,16.0,12.5,0.0,13.0,3.0
a,2021-04-01 16:30:00+11:00,396.0,244.12666666666667,0.9727894999999999,-0.9899999999999999,1.0,2021.0,4.0,1.0,16.0,42.5,0.0,13.0,3.0
a,2021-04-01 17:00:00+11:00,396.0,242.8033333333333,0.40243249999999997,-0.7391666666666666,1.0,2021.0,4.0,1.0,17.0,12.5,0.0,13.0,3.0
a,2021-04-01 17:30:00+11:00,396.0,239.08833333333334,0.3975255,-0.7336666666666667,1.0,2021.0,4.0,1.0,17.0,42.5,0.0,13.0,3.0
a,2021-04-01 18:00:00+11:00,396.0,240.72333333333333,0.6703158333333333,-0.9878333333333332,1.0,2021.0,4.0,1.0,18.0,12.5,0.0,13.0,3.0
a,2021-04-01 18:30:00+11:00,396.0,240.58,0.4007583333333333,-0.7761666666666667,1.0,2021.0,4.0,1.0,18.0,42.5,0.0,13.0,3.0
a,2021-04-01 19:00:00+11:00,396.0,237.525,0.3823396666666667,-0.7239999999999999,1.0,2021.0,4.0,1.0,19.0,12.5,0.0,13.0,3.0
a,2021-04-01 19:30:00+11:00,396.0,236.38,0.38204516666666666,-0.7246666666666667,1.0,2021.0,4.0,1.0,19.0,42.5,0.0,13.0,3.0
a,2021-04-01 20:00:00+11:00,396.0,240.75833333333333,0.457698,-0.8546666666666667,1.0,2021.0,4.0,1.0,20.0,12.5,0.0,13.0,3.0
a,2021-04-01 20:30:00+11:00,396.0,238.90833333333333,0.7545576666666666,-0.19533333333333333,1.0,2021.0,4.0,1.0,20.0,42.5,0.0,13.0,3.0
a,2021-04-01 21:00:00+11:00,396.0,236.8166666666667,0.9254928333333333,0.33433333333333337,1.0,2021.0,4.0,1.0,21.0,12.5,0.0,13.0,3.0
a,2021-04-01 21:30:00+11:00,396.0,237.5,0.7954538333333333,0.008000000000000007,1.0,2021.0,4.0,1.0,21.0,42.5,0.0,13.0,3.0
a,2021-04-01 22:00:00+11:00,396.0,239.17999999999998,0.6789771666666667,0.004833333333333338,1.0,2021.0,4.0,1.0,22.0,12.5,0.0,13.0,3.0
a,2021-04-01 22:30:00+11:00,396.0,238.00666666666666,0.7518916666666667,0.3356666666666667,1.0,2021.0,4.0,1.0,22.0,42.5,0.0,13.0,3.0
a,2021-04-01 23:00:00+11:00,396.0,240.43999999999997,0.6134615,-0.32566666666666666,1.0,2021.0,4.0,1.0,23.0,12.5,0.0,13.0,3.0
a,2021-04-01 23:30:00+11:00,396.0,243.3166666666667,0.6766946666666667,0.0031666666666666696,1.0,2021.0,4.0,1.0,23.0,42.5,0.0,13.0,3.0
a,2021-04-02 00:00:00+11:00,396.0,244.41333333333333,0.7914041666666667,0.6645,1.0,2021.0,4.0,2.0,0.0,12.5,0.0,13.0,4.0
a,2021-04-02 00:30:00+11:00,396.0,245.85,0.4829865,-0.30433333333333334,1.0,2021.0,4.0,2.0,0.0,42.5,0.0,13.0,4.0
a,2021-04-02 01:00:00+11:00,396.0,246.81500000000003,0.3622128333333334,-0.22499999999999998,1.0,2021.0,4.0,2.0,1.0,12.5,0.0,13.0,4.0
a,2021-04-02 01:30:00+11:00,396.0,246.14166666666665,0.395978,-0.7466666666666667,1.0,2021.0,4.0,2.0,1.0,42.5,0.0,13.0,4.0
a,2021-04-02 02:00:00+11:00,396.0,245.90833333333333,0.39726866666666666,-0.743,1.0,2021.0,4.0,2.0,2.0,12.5,0.0,13.0,4.0
a,2021-04-02 02:30:00+11:00,396.0,245.65166666666667,0.4376736666666667,-0.7991666666666667,1.0,2021.0,4.0,2.0,2.0,42.5,0.0,13.0,4.0
a,2021-04-02 03:00:00+11:00,396.0,244.73333333333335,0.39691733333333334,-0.7301666666666667,1.0,2021.0,4.0,2.0,3.0,12.5,0.0,13.0,4.0
a,2021-04-02 03:30:00+11:00,396.0,245.53833333333333,0.4271583333333333,-0.7738333333333333,1.0,2021.0,4.0,2.0,3.0,42.5,0.0,13.0,4.0
a,2021-04-02 04:00:00+11:00,396.0,246.375,0.4186971666666666,-0.7755,1.0,2021.0,4.0,2.0,4.0,12.5,0.0,13.0,4.0
a,2021-04-02 04:30:00+11:00,396.0,246.5666666666667,0.4144331666666667,-0.7736666666666666,1.0,2021.0,4.0,2.0,4.0,42.5,0.0,13.0,4.0
